Source,Core_ldh_AP,Core_xdh_AP,Core_xdx_AP,Core_Anno_AP,Core_BERT_AP,Answer_ldh_AP,Answer_xdh_AP,Answer_xdx_AP,Answer_Anno_AP,Answer_BERT_AP,Gramm_ldh_AP,Gramm_xdh_AP,Gramm_xdx_AP,Gramm_Anno_AP,Gramm_BERT_AP,Interp_ldh_AP,Interp_xdh_AP,Interp_xdx_AP,Interp_Anno_AP,Interp_BERT_AP,Verif_ldh_AP,Verif_xdh_AP,Verif_xdx_AP,Verif_Anno_AP,Verif_BERT_AP
I14U-gNSC-vs_r2-Di-N14-VS-N70,0.6674662246412125,0.6727780369763117,0.6671840345745388,0.7003234620600509,0.6554877280572307,0.8310663786266543,0.8514464825157892,0.8317055505879865,0.8194840197610281,0.821061206137309,0.756438088140045,0.7738257391766417,0.7688702510372766,0.741455895965667,0.7537886805936169,0.6693972162319656,0.6659069213739128,0.6744423031456483,0.5141246814747427,0.7260929283524549,0.8109868960596076,0.8146133644148907,0.8191200986444318,0.792506218862808,0.8185871049518005
I15T-gNSC-vs_r1-Tr-N14-VS-N70,0.566857597285671,0.5680624103937099,0.5656556583558414,0.63869631173979,0.5606619835879756,0.8907443346217803,0.8934343826469229,0.9137414238216888,0.8896483633325738,0.920403106650849,0.7854089001049644,0.7862513159243388,0.7915760639493779,0.8445175403822021,0.803423623628134,0.6337437944620934,0.6374466776004604,0.659960887778354,0.6619961838607323,0.6492999154661334,0.8100689849919884,0.810455658014924,0.8231032215078161,0.8507047864098778,0.8333469334983578
I15T-gNSC-vs_r2-Tr-N14-VS-N70,0.5641704371766593,0.5642064868009442,0.5659365633209569,0.63869631173979,0.5473098720578784,0.8859764144395735,0.8879062995205809,0.9141435786492136,0.8896483633325738,0.9091043963424665,0.7849977074504738,0.78472855255947,0.7905962307327024,0.8445175403822021,0.7957045528580943,0.6298927029382457,0.6312633615487234,0.6607877698223413,0.6619961838607323,0.6297378423365726,0.8110405752397073,0.8100503095435593,0.8292392616170577,0.8507047864098778,0.8323641203667519
I15U-gNSC-vs_r1-Tr-N14-VS-N70,0.6143880570630557,0.6137290132092995,0.6192943777869633,0.7215613931523022,0.5987683669906083,0.8242803558463233,0.8243333509748751,0.8638134264414441,0.851953495222726,0.8384018495536018,0.6505959032964527,0.6513156958017702,0.6460599029458921,0.7387545787545787,0.6721810155790382,0.6358875576096087,0.6350406586502079,0.6556051315375164,0.7283317872603589,0.6260125388388276,0.7782548087707302,0.7776510851809059,0.7920598481714818,0.8145942020942021,0.7825099493603329
I15U-gNSC-vs_r2-Tr-N14-VS-N70,0.6137474183762293,0.6129975294197036,0.6160685851342933,0.7215613931523022,0.597574671611278,0.823570058079574,0.8235735541902491,0.8648301355395028,0.851953495222726,0.8466053103079427,0.649054271663179,0.6503212678855937,0.6591861943609536,0.7387545787545787,0.6807231768046064,0.6347477065078777,0.6332184222398962,0.6466908444788194,0.7283317872603589,0.6243701195286754,0.7769718314220846,0.7762791663762971,0.7930889005478123,0.8145942020942021,0.7835814518662066
I16T-gNSC-vs_r1-Tr-N14-VS-N70,0.7881267886524299,0.7793982271612097,0.7687045067288498,0.7384570845514102,0.7239740589731998,0.5963727829344411,0.6032700283207358,0.7327728263867065,0.7534832451499118,0.7264327624483373,0.6276194398752003,0.6274628420199991,0.6894673945151739,0.6771801916032686,0.6644364423845321,0.9026962819057962,0.8974331504409173,0.863579092613179,0.8218083716555182,0.8773542995727384,0.9702733312950677,0.9655526629555572,0.8940027822866385,0.8527688959127087,0.9138529320426643
I16T-gNSC-vs_r2-Tr-N14-VS-N70,0.7695082512606012,0.7693863532707363,0.7785374513492263,0.7384570845514102,0.704734391807698,0.62604377275921,0.628380075060515,0.7368622999748469,0.7534832451499118,0.7256901231872159,0.6373136075267241,0.6381122730551286,0.6958427139774123,0.6771801916032686,0.6723685610452099,0.9170212148410712,0.9161557674734667,0.8882260169871127,0.8218083716555182,0.8874369314776867,0.9721609029597631,0.9705558277609707,0.9016689947218788,0.8527688959127087,0.9129171484439811
I16U-gNSC-vs_r1-Tr-N14-VS-N70,0.6993371127346076,0.6887705514155572,0.6866237240860655,0.7328944044461286,0.6661767668829044,0.8465216558339745,0.8934623239507817,0.8889776750159156,0.8793181177796563,0.8768027503089191,0.773616295793187,0.7871644088367462,0.7015932639562552,0.7843185550082102,0.7445478125035195,0.8157835824827386,0.8046034060608376,0.7872196274411999,0.8056284764618099,0.7987351441295418,0.8186744895261637,0.8102754862807103,0.7735219618320663,0.8005440348182284,0.8061299483424744
I16U-gNSC-vs_r2-Tr-N14-VS-N70,0.6871351912297344,0.6726050488339724,0.6907975852615613,0.7328944044461286,0.6636350166194998,0.9055271474270288,0.8934299667651886,0.8957374904885294,0.8793181177796563,0.892312643726012,0.7538612079583572,0.7510999152615965,0.6977596356124378,0.7843185550082102,0.7421852686103835,0.7916929576105609,0.7836853584571724,0.7856246316257045,0.8056284764618099,0.7861285759662646,0.7784676760284656,0.7817568858721321,0.7705963526349403,0.8005440348182284,0.7906334834818981
I17T-gNSC-vs_r1-Di-N14-VS-N70,0.6510946947198697,0.6486298223130198,0.6183623256946256,0.7110644257703082,0.6145483352685831,0.6196073281122305,0.6161961343417486,0.6331843444912724,0.7076479076479076,0.6123702218370293,0.5670586954721248,0.5650536240371811,0.548072634219853,0.677124183006536,0.5504154873270942,0.7427419338139258,0.7450975784949201,0.7324355603657402,0.7560956200662081,0.694935691776151,0.7609032452214982,0.7546266935490117,0.7355497682219221,0.7754408320705332,0.7202651047270542
