Source,Core_Anno_AP,Core_ldh_AP,Core_xdh_AP,Core_xdx_AP,Core_BERT_AP,Answer_Anno_AP,Answer_ldh_AP,Answer_xdh_AP,Answer_xdx_AP,Answer_BERT_AP,Gramm_Anno_AP,Gramm_ldh_AP,Gramm_xdh_AP,Gramm_xdx_AP,Gramm_BERT_AP,Interp_Anno_AP,Interp_ldh_AP,Interp_xdh_AP,Interp_xdx_AP,Interp_BERT_AP,Verif_Anno_AP,Verif_ldh_AP,Verif_xdh_AP,Verif_xdx_AP,Verif_BERT_AP
I04T-gNSC-vs_r1-In-N50-VS-N70,0.5952893765895609,0.6625618165155427,0.6623380933449836,0.6308739862124331,0.5445753569696274,0.6679232135501095,0.6918275088147234,0.7016225221516603,0.7256174090785461,0.6405182057575818,0.6567765567765567,0.683381194898238,0.683576034642497,0.6761826959259443,0.6430416710242878,0.8192026814028995,0.8624973943373165,0.8615330112329184,0.8549218561800809,0.8249902824854005,0.7750873083177626,0.7986631456605815,0.8005398383806841,0.8035769949183242,0.7485620147835532
I04T-gNSC-vs_r2-In-N50-VS-N70,0.5952893765895609,0.6748768308168995,0.6821031753584418,0.6582773579166921,0.554966258021415,0.6679232135501095,0.6896803478443518,0.6914387356712526,0.7243360800891859,0.6210722529063536,0.6567765567765567,0.6726322600058061,0.6733646175997541,0.678315015770475,0.6364177831167841,0.8192026814028995,0.861610306775279,0.8577298841154101,0.8556805287418991,0.8359152780108461,0.7750873083177626,0.7977234658079246,0.7983648750085414,0.805386685163566,0.7464326315123695
I04U-gNSC-vs_r1-In-N50-VS-N70,0.7963216672894091,0.891901887126914,0.8817742725589661,0.8182958067279934,0.748881899819161,0.5919642857142857,0.580353031523959,0.5992008276822468,0.6397025710410749,0.6286406224064641,0.7226351351351351,0.6244874105569456,0.6329633351296138,0.6718900682393307,0.7237016334668771,0.9590071437897524,0.974029861941671,0.9696527575645666,0.9739481034872148,0.9656236173390352,0.9590071437897524,0.974029861941671,0.9696527575645666,0.9739481034872148,0.9656236173390352
I04U-gNSC-vs_r2-In-N50-VS-N70,0.7963216672894091,0.8470856987457939,0.8281784986969463,0.8048087303304222,0.7513838683176131,0.5919642857142857,0.570941997822469,0.5886638407567804,0.6232421500910008,0.643311516421792,0.7226351351351351,0.6169814660506157,0.6262596402783647,0.6692384115619249,0.7347903103138379,0.9590071437897524,0.9568753238392513,0.9520324310701423,0.9696647104551508,0.9633390779407256,0.9590071437897524,0.9568753238392513,0.9520324310701423,0.9696647104551508,0.9633390779407256
I05T-gNSC-vs_r1-Di-N50-VS-N70,0.828961292119187,0.8284865775680397,0.8271624959871788,0.7982715768925779,0.7849315850171407,0.8858395989974939,0.8029249012176018,0.8000160535694049,0.8585757679609234,0.8664654511783734,0.8538018433179724,0.802454461348254,0.7985116609073091,0.774683858417927,0.7839403916741148,0.8715153267784845,0.8968849379810429,0.8935277924215841,0.877667295091872,0.886884502196305,0.9574352548036759,0.9577286418313817,0.9577044053059233,0.946067103837545,0.9577332639556035
I05T-gNSC-vs_r2-Di-N50-VS-N70,0.828961292119187,0.8215911464327568,0.8172492908525282,0.7932765205086325,0.7839428466918011,0.8858395989974939,0.8010889079161769,0.7964171567869428,0.8587177339846335,0.865503650721485,0.8538018433179724,0.8003044216243351,0.8041674428962255,0.7724094448740443,0.7852091414959955,0.8715153267784845,0.8850830323051906,0.8810701566495387,0.867210957616964,0.8837735037911889,0.9574352548036759,0.9528833197929256,0.9529435884692459,0.9459655883374788,0.9577916308831094
I05U-gNSC-vs_r1-Di-N50-VS-N70,0.81687058987818,0.7956672792114049,0.7954222270772097,0.7620437562407728,0.7543946877754022,0.9281359309893112,0.9260312118940147,0.9286218672559889,0.9381599981240738,0.9381714256213901,0.8682539682539683,0.8380132668793102,0.8427368749549178,0.8551829209530518,0.8585295646769229,0.8806092501279666,0.883863369199934,0.8828889994855228,0.8805705954922264,0.8749256437020759,0.9159393381957035,0.9101508214311986,0.908315093904299,0.912533822389883,0.9082915557897981
I05U-gNSC-vs_r2-Di-N50-VS-N70,0.81687058987818,0.8224158624500812,0.8161564081152376,0.7616812634572994,0.7748306971947085,0.9281359309893112,0.9390322966425625,0.9380499357613782,0.9341412912511163,0.939325480995156,0.8682539682539683,0.7861953858716314,0.7947725092776333,0.8469931018205324,0.8550584343464739,0.8806092501279666,0.9062781662673666,0.8992628028454007,0.8797548106026102,0.884555469199357,0.9159393381957035,0.9233589718558554,0.9153804785344035,0.9093548502864162,0.9036380503585716
I06T-gNSC-vs_r1-Tr-N50-VS-N70,0.7523418710918711,0.7343776860856341,0.7368970039118226,0.727123647039827,0.71813016128944,0.7856042262821923,0.7376156594032109,0.7490946140917936,0.7594264024885073,0.7891361841577759,0.6795918367346939,0.617655036586899,0.6492294856829788,0.6654420924321286,0.6443930417397155,0.9007196162046909,0.9269413989903461,0.9355133641387297,0.9302613459967427,0.924747877462998,0.9533437375828682,0.9807073718593327,0.9888552548179702,0.9879419921745429,0.9737850214783019
I06T-gNSC-vs_r2-Tr-N50-VS-N70,0.7523418710918711,0.7347655692171622,0.7254840641568218,0.7187955647152617,0.721599935737686,0.7856042262821923,0.7673154488894617,0.7609351243704056,0.7628903371907001,0.7954694157089888,0.6795918367346939,0.6535380215529881,0.6546323545778977,0.6710287963466924,0.6637478498007303,0.9007196162046909,0.9429831935935412,0.942524357194088,0.932357046678771,0.9321021006310071,0.9533437375828682,0.9905354074632147,0.9916791867274094,0.9888587871483432,0.9771435821418498
