,Term_STTR
I19T-gNSC-r2-Tr-N50,0.45
I19U-gNSC-r1-Tr-N50,0.3861111111111111
I19U-gNSC-r2-Tr-N50,0.4
I20T-gNSC-r1-In-N50,0.2791666666666666
I20T-gNSC-r2-In-N50,0.4166666666666667
I20U-gNSC-r1-In-N50,0.3678571428571428
I20U-gNSC-r2-In-N50,0.503125
I21T-gNSC-r1-Di-N50,0.359375
I21T-gNSC-r2-Di-N50,0.41875
I21U-gNSC-r1-Di-N50,0.43
I21U-gNSC-r2-Di-N50,0.4833333333333334
I22T-gNSC-r1-Tr-N50,0.42812500000000003
I22T-gNSC-r2-Tr-N50,0.48750000000000004
I22U-gNSC-r1-Tr-N50,0.5075
I22U-gNSC-r2-Tr-N50,0.5354166666666665
I23T-gNSC-r1-Di-N50,0.3975
I23T-gNSC-r2-Di-N50,0.4574999999999999
I23U-gNSC-r1-Di-N50,0.4708333333333334
I23U-gNSC-r2-Di-N50,0.48653846153846153
I24T-gNSC-r1-In-N50,0.3499999999999999
I24T-gNSC-r2-In-N50,0.375
I24U-gNSC-r1-In-N50,0.41250000000000003
I24U-gNSC-r2-In-N50,0.485
I25T-gNSC-r1-Tr-N50,0.2392857142857143
I25T-gNSC-r2-Tr-N50,0.325
I25U-gNSC-r1-Tr-N50,0.3194444444444444
I25U-gNSC-r2-Tr-N50,0.3909090909090909
I26T-gNSC-r1-Di-N50,0.33611111111111114
I26T-gNSC-r2-Di-N50,0.40555555555555556
I26U-gNSC-r1-Di-N50,0.4431818181818181
I26U-gNSC-r2-Di-N50,0.47884615384615387
I27T-gNSC-r1-In-N50,0.29500000000000004
I27T-gNSC-r2-In-N50,0.39285714285714285
I27U-gNSC-r1-In-N50,0.3892857142857143
I27U-gNSC-r2-In-N50,0.43333333333333335
I28T-gNSC-r1-Di-N50,0.3843749999999999
I28T-gNSC-r2-Di-N50,0.4722222222222222
I28U-gNSC-r1-Di-N50,0.5477272727272727
I28U-gNSC-r2-Di-N50,0.5750000000000001
I29T-gNSC-r1-Tr-N50,0.35000000000000003
I29T-gNSC-r2-Tr-N50,0.42812500000000003
I29U-gNSC-r1-Tr-N50,0.44999999999999996
I29U-gNSC-r2-Tr-N50,0.5
I30T-gNSC-r1-In-N50,0.27999999999999997
I30T-gNSC-r2-In-N50,0.39999999999999997
I30U-gNSC-r1-In-N50,0.4142857142857143
I30U-gNSC-r2-In-N50,0.41428571428571426
