Source,ldh_spear,ldh_p,xdh_spear,xdh_p,xdx_spear,xdx_p,BERT_spear,BERT_p
I16T-gNSF-r2-Tr-F14-VS-N70-W,0.24768056557266824,0.038709449662915306,0.2646247864821751,0.026844520573967492,0.30552053461189593,0.010112540845138964,0.5376528820780022,1.5905624934878885e-06
I16U-gNSF-r2-Tr-F14-VS-N70-W,0.3251475880659033,0.006024355839425079,0.3956595431446053,0.000698426492285235,0.4379049929891916,0.0001499494069392653,0.6290674167869876,5.474323027904903e-09
I17T-gNSF-r2-Di-F14-VS-N70-W,0.670057965907327,2.2408556612876057e-10,0.5917939339694301,6.841027976918343e-08,0.5369872054893972,1.647758270067042e-06,0.6399105356110945,2.461897251010131e-09
I17U-gNSF-r2-Di-F14-VS-N70-W,0.2625657065485697,0.02809824583001517,0.3457609395444545,0.0033704955980133565,0.29813217164476696,0.012185444966762129,0.32450612060774975,0.0061304587927644765
I18T-gNSF-r2-In-F14-VS-N70-W,0.8363734149820103,2.0172863304151132e-19,0.8304725610284255,6.071890705144442e-19,0.8565776065602314,3.23832754239655e-21,0.8796757007086713,1.2268858064711832e-23
I18U-gNSF-r2-In-F14-VS-N70-W,0.8823539939589854,5.972649068461581e-24,0.8840056375359631,3.798080366121948e-24,0.8978957583471915,6.282503489389222e-26,0.8809589587806628,8.708554277296067e-24
I19T-gNSF-r2-Tr-F14-VS-N70-W,0.14552184450631594,0.2293590193305285,0.16280667897822002,0.17810389552998498,0.0901897970123279,0.4577781804105615,0.43977644475847943,0.0001394027905892511
I19U-gNSF-r2-Tr-F14-VS-N70-W,0.2600424255721015,0.02970154760894365,0.24557377418365425,0.040450747506815966,-0.014027679311534142,0.9082418927496261,0.51634187397427,4.752032894443239e-06
I20T-gNSF-r2-In-F14-VS-N70-W,0.4097259169039957,0.0004278593346128272,0.41420323588750746,0.0003644044860249022,0.4023843981222206,0.0005540361870539657,0.438340181846664,0.00014743337279697537
I20U-gNSF-r2-In-F14-VS-N70-W,0.4132560945528188,0.0003770620484958738,0.41975974880488137,0.00029764826728231864,0.3741659600956328,0.0014183482688685887,0.39446728546433313,0.0007273343054843045
I21T-gNSF-r2-Di-F14-VS-N70-W,0.3687248535473721,0.0016843439620940722,0.3741772406727515,0.0014178385801568365,0.2002382802955564,0.0965072177664981,0.48752537623469144,1.86500862829873e-05
I21U-gNSF-r2-Di-F14-VS-N70-W,-0.10735100621263834,0.3763989362378553,-0.1294515106503201,0.2854891692394589,0.14177460399550554,0.24170396847338185,0.35961088910595246,0.0022316731298992615
I22T-gNSF-r2-Tr-F14-VS-N70-W,0.21811834562550245,0.06968405133725705,0.15426415441413588,0.20228256431434213,0.4198621359816671,0.00029653077275960363,0.518613095867033,4.243685442102669e-06
